ingredient_key,what_is_it,why_used,fun_fact,risk_label_human,health_impact_human,risk_label_dog,health_impact_dog,risk_label_cat,health_impact_cat,source
insect_meal,"A concentrated powder made from dried and processed insects.","Used to add a lot of protein in a small amount and help make dry food more nutrient-dense.","Because the water is removed, insect meal is much more concentrated than fresh insect ingredients.","caution","It can be nutritious, but it is more processed than a whole-food protein. The main concern is possible allergy reactions in sensitive people, especially those with shellfish allergy, and the fact that it is a very concentrated ingredient.","safe","Usually safe for dogs and gives concentrated protein. In some dogs, a sudden change to a dense protein source may lead to gas, loose stool, or mild stomach upset.","safe","Usually safe for cats and can provide a compact protein source. Some cats may need time to adjust because concentrated ingredients can be harder on a sensitive stomach.","FEDIAF / pet food industry"
black_soldier_fly_larvae,"These are insect larvae used as a protein and fat source.","Used to add protein, fat, and minerals in a more sustainable way.","Black soldier fly larvae are one of the best-known insect ingredients in modern sustainable pet food.","safe","They are generally nutritious and well tolerated, with protein, fat, and minerals. The main possible issue is allergy sensitivity in people who already react to shellfish-like proteins, not a major safety problem for most people.","safe","Usually safe for dogs and often a good option for dogs with food sensitivities. In some dogs, too much fat or a sudden diet change could still cause mild digestive upset.","safe","Usually safe for cats and can be a useful novel protein. Sensitive cats may still react to any new ingredient with vomiting or loose stool at first.","FEDIAF / pet food industry"
mealworm,"A small insect used as a source of protein and fat.","Used to add nutrients and provide an alternative to more common meats.","Mealworms are often used in novel-protein recipes because they are different from chicken or beef.","safe","Mealworm can provide good protein and healthy fats, but people with shellfish allergy may want extra caution because cross-reactions are possible. The main risk is allergy, not general toxicity.","safe","Usually safe for dogs and often easy to digest. If a dog does not tolerate it, the most likely signs would be itching, soft stool, or mild stomach upset.","safe","Usually safe for cats and can be a useful protein option. As with any new protein, some cats may show digestive sensitivity at first.","FEDIAF / pet food industry"
silkworm,"An insect ingredient used as a protein source.","Used to add protein and nutrients, especially in specialty formulas.","Silkworm is still unusual in many markets, which is why it is often seen in more niche products.","safe","It can be a nutritious protein source and is not considered especially risky for most people. The main concern would be sensitivity or allergy in people who react to insect-related proteins.","safe","Usually safe for dogs in balanced amounts. If a dog reacts, it would most likely be as a food sensitivity rather than a dangerous toxic effect.","safe","Usually safe for cats and generally well tolerated. Some cats may still get mild stomach upset when trying a new animal protein.","FEDIAF / pet food industry"
whey,"A liquid left behind when cheese is made.","Used to add protein and dairy nutrients, and sometimes to improve taste.","Whey is one of the best-known dairy proteins in sports nutrition.","caution","It can be a useful protein source, but it may still contain lactose. For people with lactose intolerance, that can mean bloating, gas, cramps, or diarrhea, especially in larger amounts.","safe","Usually safe for dogs in small amounts, but too much may lead to gas or loose stool because dairy is not tolerated equally well by every dog.","caution","Some cats may digest small amounts, but many adult cats handle dairy poorly and may get diarrhea, gas, or stomach discomfort.","FEDIAF / pet food industry"
whey_powder,"A dried form of whey with concentrated dairy protein and flavor.","Used to add protein, creamy taste, and a more appealing texture.","Drying whey makes it easier to store, mix, and use in processed foods and treats.","caution","It can add useful protein, but it is more processed and may still cause bloating, gas, or diarrhea in people sensitive to lactose or dairy proteins. In very processed foods, it can also make the product feel healthier than it really is.","safe","Usually safe for dogs in small amounts, though some dogs may get mild digestive upset if they do not handle dairy well.","caution","Cats are often less tolerant of dairy ingredients, so whey powder may lead to loose stool or stomach discomfort in sensitive cats.","FEDIAF / pet food industry"
milk_powder,"Milk that has been dried into a shelf-stable powder.","Used to add dairy flavor, protein, and calcium without using fresh milk.","It is common in processed foods because it is easy to store and easy to mix in.","caution","It still contains milk sugars and proteins, so for people with lactose intolerance it may cause bloating, cramps, gas, or diarrhea. It is nutritious, but not automatically easy to digest just because it is dried.","caution","Some dogs can handle small amounts, but others may get loose stool, gas, or stomach upset because milk sugar can be hard to digest.","caution","Many cats do not digest milk well, so milk powder can lead to diarrhea, stomach discomfort, or messy litter-box issues.","FEDIAF / pet food industry"
skimmed_milk_powder,"Milk powder with most of the fat removed.","Used to add dairy protein and minerals with less richness than full milk powder.","It keeps much of the protein and calcium while cutting back on fat.","caution","Lower fat does not mean easier to digest for everyone. It still contains lactose, so sensitive people may still get bloating, cramps, gas, or diarrhea.","caution","May be tolerated by some dogs in small amounts, but lactose can still cause digestive upset, especially in dogs with sensitive stomachs.","caution","Often not ideal for cats because they commonly struggle with lactose and may get loose stool or stomach discomfort.","FEDIAF / pet food industry"
casein,"A slow-digesting milk protein.","Used to add protein and help products feel more filling over time.","Casein digests more slowly than whey, which is why it is popular in some protein products.","caution","It can be a high-quality protein, but it still comes from milk. For people with milk allergy, it can trigger reactions, and for some sensitive people it may feel heavy or harder to digest.","safe","Usually safe for dogs in small amounts. A sensitive dog could still show signs like itching, gas, or soft stool if it does not tolerate dairy proteins well.","safe","Usually safe for cats in small amounts, though very sensitive cats may still react to dairy-based proteins.","FEDIAF / pet nutrition"
caseinate,"A processed milk protein made from casein.","Used to add protein and improve texture, making foods smoother and more stable.","Caseinate is often used in protein bars and creamy processed foods.","caution","It is a high-quality protein, but comes from milk and can trigger reactions in people with milk allergy. In sensitive individuals it may cause digestive discomfort or inflammation-like symptoms.","safe","Usually safe for dogs in small amounts, but some dogs sensitive to dairy proteins may develop itching, gas, or loose stool.","safe","Usually safe for cats in small amounts, though some may still react to dairy proteins with mild digestive upset.","FEDIAF / pet food industry"
lactose,"A natural sugar found in milk and dairy products.","Used as an energy source and naturally present in many dairy-based foods.","Many adults around the world have reduced ability to digest lactose.","caution","Many people cannot properly digest lactose, which can lead to bloating, gas, cramps, and diarrhea. The severity depends on individual tolerance.","caution","Some dogs can tolerate small amounts, but others may experience gas, loose stool, or stomach upset.","caution","Most adult cats are lactose intolerant, so lactose can easily cause diarrhea and digestive discomfort.","FEDIAF / pet nutrition"
cheese_powder,"A dried form of cheese used as a flavor ingredient.","Used to make food taste richer, saltier, and more appealing.","It is often used to boost flavor in snacks without using fresh cheese.","caution","It contains salt, fat, and dairy compounds, so in excess it may contribute to high calorie intake and digestive discomfort, especially for people sensitive to dairy.","safe","Usually safe for dogs in small amounts, but too much may lead to weight gain or digestive upset due to fat and salt.","caution","Cats may enjoy the taste, but dairy and salt can cause digestive upset or diarrhea in sensitive individuals.","FEDIAF / pet food industry"
yogurt_powder,"A dried version of yogurt with concentrated dairy components.","Used to add flavor, slight tanginess, and some nutrients in a convenient form.","Drying removes water but keeps much of the dairy content.","caution","It may contain lactose and dairy proteins, so it can still cause bloating, gas, or discomfort in people with lactose intolerance.","safe","Usually safe for dogs in small amounts, though some may still react to dairy with mild digestive issues.","caution","Cats may have trouble digesting dairy-based powders, which can lead to diarrhea or stomach discomfort.","FEDIAF / pet food industry"
